194,8005400,Santa Claus,2,Privat
195,8005412,Lleó XIII,2,Privat
196,8005436,Dominiques Barcelona,2,Privat
197,8005473,San Nicolás,2,Privat
198,8005485,Marillac,2,Privat
199,17010189,Institut Vall de Llémena,1,Públic
200,8005564,Maristes La Immaculada,2,Privat
201,8005618,Vedruna Àngels Barcelona,2,Privat
202,8005643,Labouré,2,Privat
203,8005746,Escola Pia Sant Antoni,2,Privat
204,8005761,IPSE,2,Privat
205,8005771,Sagrat Cor-Esclaves,2,Privat
206,8005801,Mare de Déu del Roser,2,Privat
207,8005965,Sant Francesc d'Assís,2,Privat
209,8006118,Proa,2,Privat
210,8006143,Josep Tous,2,Privat
211,8006209,Sant Medir,2,Privat
212,8006313,Sant Vicenç de Paül,2,Privat
213,8006465,Nostra Senyora del Carme,2,Privat
214,8006477,Lloret,2,Privat
215,8006490,Montserrat,2,Privat
216,8006532,Maristes Sants - les Corts,2,Privat
217,8006702,Inglés,2,Privat
218,8006751,Virolai,2,Privat
219,8006908,Vedruna Gràcia Barcelona,2,Privat
220,8006945,Acis-Artur Martorell,2,Privat
221,8006970,Sant Josep,2,Privat
222,8006994,Sant Josep-Teresianes,2,Privat
223,8007032,La Salle Gràcia,2,Privat
224,8007101,Reina Elisenda,2,Privat
225,8007202,Escola Patronat Domènech,1,Públic
226,8007445,Escola Pia-Luz Casanova,2,Privat
227,8007469,FEDAC-Amilcar,2,Privat
228,8007482,Sant Lluís,2,Privat
229,8007494,Sagrada Família,2,Privat
230,8007524,Prínceps 23 d'Abril,2,Privat
231,8007597,La Salle Congrés,2,Privat
232,8007603,Arrels,2,Privat
233,8007721,Jesús Maria,2,Privat
234,8007858,Escolàpies Sant Martí - Barcelona,2,Privat
235,8007871,Sant Ferran,2,Privat
236,8007913,Mare de Déu de Núria,2,Privat
237,8008012,San Rafael,2,Privat
238,8008036,Joan Roca 1953,2,Privat
239,8008191,Santa Maria dels Apòstols,2,Privat
240,8008267,L'Esperança,2,Privat
241,8008279,FEDAC-Sant Andreu,2,Privat
242,8008309,Mare Alfonsa Cavín,2,Privat
243,8008361,Cor de Maria-Sabastida,2,Privat
244,8008371,Mare de Déu dels Àngels,2,Privat
245,8008401,Bon Pastor,2,Privat
246,8008449,Escola Turó Blau,1,Públic
